timestamp,vehicle_id,vehicle_type,direction,speed_kmh
1773301806.2653515,1,truck,down,21
1773301806.3609123,17,car,up,27
1773301806.6401181,30,car,up,25
1773301807.0732214,6,car,down,23
1773301809.6444552,52,car,up,22
1773301810.7868204,42,car,down,30
1773301811.2960596,91,truck,up,26
1773301811.9656122,8,car,down,30
1773301812.2702262,38,car,down,23
1773301812.8683205,121,truck,up,18
1773301812.9192412,22,car,down,19
1773301813.5291631,168,car,up,28
1773301813.6783407,151,car,up,23
1773301814.7399895,181,car,up,21
1773301815.0896153,142,truck,down,23
1773301815.236093,207,car,up,28
1773301816.3537078,217,car,up,21
1773302232.7092025,1,truck,down,20
1773302232.808533,17,car,up,26
1773302233.057803,30,car,up,25
1773302233.374916,6,car,down,26
1773302235.3059998,52,car,up,29
1773302236.4989266,42,car,down,29
1773302237.0313513,91,truck,up,25
1773302238.0227714,8,car,down,23
1773302238.4389105,38,car,down,18
1773302239.3022351,121,truck,up,13
1773302239.3783107,22,car,down,13
1773302240.1177752,168,car,up,21
1773302240.259319,151,car,up,17
1773302241.2999954,181,car,up,21
1773302241.6459155,142,truck,down,24
1773302241.8090699,207,car,up,28
1773302242.9194763,217,car,up,21
1773302243.8805084,237,car,up,17
1773302244.6576934,266,car,up,28
1773302244.8034546,236,car,down,23
1773302245.0112867,262,car,up,22
1773302246.986387,278,car,up,27
1773302248.939167,89,truck,down,19
1773302249.0598664,303,car,up,19
1773302249.5241218,313,car,up,25
1773302250.0227656,312,car,up,17
1773302251.0422945,260,car,down,17
1773302251.2644775,334,car,up,19
1773302251.900793,337,car,up,16
1773302252.8737147,339,car,down,14
1773302253.0794415,307,car,down,22
1773302254.4392517,393,car,up,21
1773302254.8445497,401,car,down,31
1773302255.5939255,424,car,up,26
1773302255.7507963,340,car,down,20
1773302255.8001986,409,car,down,29
1773302256.7930064,431,car,down,28
1773302257.1024659,438,car,up,28
1773302258.1624255,432,car,down,30
1773302259.4252696,457,car,down,28
1773302259.90198,492,truck,up,25
1773302260.1066036,505,car,up,34
1773302260.8051186,464,car,down,29
1773302261.693728,467,car,down,23
1773302263.354496,497,car,down,23
1773302265.2784297,515,car,down,18
1773302266.1122477,548,truck,up,14
1773302267.3252077,583,car,down,29
1773302268.5037909,473,truck,down,20
1773302270.321375,628,car,down,21
1773302270.42296,641,truck,up,18
1773302270.474408,494,truck,down,19
